2024-09-15 20:25:16,824 INFO    MainThread:1014314 [wandb_setup.py:_flush():76] Current SDK version is 0.17.5
2024-09-15 20:25:16,825 INFO    MainThread:1014314 [wandb_setup.py:_flush():76] Configure stats pid to 1014314
2024-09-15 20:25:16,825 INFO    MainThread:1014314 [wandb_setup.py:_flush():76] Loading settings from /home/sarim.hashmi/.config/wandb/settings
2024-09-15 20:25:16,825 INFO    MainThread:1014314 [wandb_setup.py:_flush():76] Loading settings from /l/users/sarim.hashmi/for_the_little_interns/SVD_vs_ortho/arcade/SVD/wandb/settings
2024-09-15 20:25:16,825 INFO    MainThread:1014314 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2024-09-15 20:25:16,825 INFO    MainThread:1014314 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-09-15 20:25:16,825 INFO    MainThread:1014314 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'driver_scratchpad.py', 'program_abspath': '/l/users/sarim.hashmi/for_the_little_interns/SVD_vs_ortho/arcade/SVD/driver_scratchpad.py', 'program': '/l/users/sarim.hashmi/for_the_little_interns/SVD_vs_ortho/arcade/SVD/driver_scratchpad.py'}
2024-09-15 20:25:16,825 INFO    MainThread:1014314 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-09-15 20:25:16,826 INFO    MainThread:1014314 [wandb_init.py:_log_setup():529] Logging user logs to /l/users/sarim.hashmi/for_the_little_interns/SVD_vs_ortho/arcade/SVD/wandb/run-20240915_202516-fsqumi24/logs/debug.log
2024-09-15 20:25:16,826 INFO    MainThread:1014314 [wandb_init.py:_log_setup():530] Logging internal logs to /l/users/sarim.hashmi/for_the_little_interns/SVD_vs_ortho/arcade/SVD/wandb/run-20240915_202516-fsqumi24/logs/debug-internal.log
2024-09-15 20:25:16,826 INFO    MainThread:1014314 [wandb_init.py:init():569] calling init triggers
2024-09-15 20:25:16,826 INFO    MainThread:1014314 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'batch_size': 32, 'num_epochs': 1000, 'reg_multiplier': 0}
2024-09-15 20:25:16,826 INFO    MainThread:1014314 [wandb_init.py:init():619] starting backend
2024-09-15 20:25:16,826 INFO    MainThread:1014314 [wandb_init.py:init():623] setting up manager
2024-09-15 20:25:16,833 INFO    MainThread:1014314 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-09-15 20:25:16,834 INFO    MainThread:1014314 [wandb_init.py:init():631] backend started and connected
2024-09-15 20:25:16,840 INFO    MainThread:1014314 [wandb_init.py:init():720] updated telemetry
2024-09-15 20:25:16,846 INFO    MainThread:1014314 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-09-15 20:25:17,468 INFO    MainThread:1014314 [wandb_run.py:_on_init():2435] communicating current version
2024-09-15 20:25:17,553 INFO    MainThread:1014314 [wandb_run.py:_on_init():2444] got version response upgrade_message: "wandb version 0.18.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-09-15 20:25:17,554 INFO    MainThread:1014314 [wandb_init.py:init():804] starting run threads in backend
2024-09-15 20:25:18,240 INFO    MainThread:1014314 [wandb_run.py:_console_start():2413] atexit reg
2024-09-15 20:25:18,240 INFO    MainThread:1014314 [wandb_run.py:_redirect():2255] redirect: wrap_raw
2024-09-15 20:25:18,240 INFO    MainThread:1014314 [wandb_run.py:_redirect():2320] Wrapping output streams.
2024-09-15 20:25:18,240 INFO    MainThread:1014314 [wandb_run.py:_redirect():2345] Redirects installed.
2024-09-15 20:25:18,243 INFO    MainThread:1014314 [wandb_init.py:init():847] run started, returning control to user process
